SUMD ID,GPS Latitude,GPS Longitude
Powered1181344e-4993-5ad7-9372-c4259b3a55ef,36.1198,-86.7531
Powered11a92805-33aa-5439-b901-86e8d9b08670,36.1199,-86.7536
Powered11bd98bd-2526-58a4-a59c-4704e337d1b1,36.136,-86.8011
Powered11c2130d-205a-533f-9bca-769e026ad67f,36.1202,-86.7534
Powered11f2969f-3623-5fa1-a229-db9525116997,36.1199,-86.7534
Powered122c1766-fd44-51f0-bfe2-5007726e6a8d,36.1201,-86.7532
Powered123808f0-4454-5caa-8aa0-f19bfbe7d2ec,36.1202,-86.7532
Powered12515d8b-f2eb-5166-a81f-56dc75254dfb,36.12,-86.7539
Powered127ec6cc-e4cc-59cc-9dc6-bc72f86d98ca,36.1631,-86.7708
Powered12b410e6-7ce0-5937-a9ad-8ecc1c0f7aa0,36.1558,-86.7797
Powered12fc0123-17a5-5036-a98b-b0c8dcb5c27a,36.1649,-86.7809
Powered130ba9f7-89e9-505c-9ccc-66e18fd30cb0,36.12,-86.7536
Powered1344a616-e12d-5862-8d1d-88ee33f2b31e,36.1647,-86.7798
Powered1355703d-c02a-5eba-9e18-8c5ca54a6162,36.1547,-86.7851
Powered137861d3-fa6b-5d5d-ab9b-c1930cf5bf37,36.1198,-86.7532
Powered13ca1f8e-8cb6-52f2-9afe-7fdd86872488,36.1196,-86.7534
Powered13f54709-8d66-5220-a9a8-cbc74248c70a,36.1201,-86.7533
Powered141a9fc0-cba1-5a07-be5b-3588bac4f4bb,36.1199,-86.7535
Powered14384738-3bdf-5866-b764-547cd96f6a90,36.12,-86.7532
Powered1451908f-9871-54a5-b50b-5f104f129f38,36.12,-86.7535
Powered14999d7e-4592-5ee3-9f79-1a3b2dec2be5,36.1524,-86.7958
Powered14b96229-5f38-5f2c-a254-3d657a8227ed,36.1551,-86.7867
Powered14cca0d3-3446-5829-84fa-5fa563f1e20a,36.1772,-86.7879
Powered14f76147-2e45-51bc-b9fd-e4233e0f12bc,36.1629,-86.7809
Powered151386dc-2a3e-56b6-8c23-d28f927ad1bd,36.1201,-86.7532
Powered151b9e94-ad62-5d67-9764-d6d2be34b49c,36.1201,-86.7536
Powered157a25e3-9437-5900-a083-3ecebb7c7219,36.1201,-86.7534
Powered1591d6d2-1d2d-586c-b5c3-dff3017077bd,36.1199,-86.7533
Powered1596b61a-225f-5a94-9027-cfc92d1075a0,36.1685,-86.7718
Powered15972414-4a45-5ed9-bea0-8c374e3e544f,36.1878,-86.8231
Powered15bf7e6d-4148-5c56-8253-3f01dba2f0db,36.1202,-86.7534
Powered15daa47d-ce3e-57e0-bb73-9e8c21dc44f7,36.1201,-86.7535
Powered15eb7d48-3e25-5184-9f4e-e59cf88f97af,36.1197,-86.7536
Powered16197509-1225-5eda-981c-12d92dd3a2ae,36.1198,-86.7533
Powered1691872e-b176-5fc6-86ed-967d00644179,36.12,-86.7531
Powered16adfff4-6c30-5e85-ab66-ae31a6b92d4c,36.1466,-86.8133
Powered16da0d78-dcc1-583c-87ff-ba75e7490798,36.1368,-86.7987
Powered16fc40cf-dabc-5f9b-9341-2023cb150509,36.1766,-86.7872
Powered1719ce1d-c475-590d-9acd-87096c69198e,36.1591,-86.7745
Powered1735d059-25ac-5870-947b-59a58069bb22,36.12,-86.7533
Powered1752718b-c28d-51de-9f22-4934e91a9c4e,36.1473,-86.761
Powered1765c43f-0b71-53a8-a79a-bee5a883f650,36.1198,-86.7531
Powered17715097-e8a0-5494-a5ab-9b625796607d,36.1201,-86.7533
Powered17735ab4-6108-5a0f-b15b-247a7befda37,36.1199,-86.7532
Powered179c9204-1949-5536-ae9d-94a1bdac7ae1,36.1524,-86.7948
Powered17aa108a-02e1-5e77-8fe2-951fb243acd9,36.1202,-86.7533
Powered17dc0b58-248b-56bf-9b4b-58a91f0a0dee,36.173,-86.7865
Powered17ffcfb3-f80c-5f9c-a70f-33152770694d,36.1098,-86.7501
Powered180ac49c-1591-54e1-95c8-efb7d404c92d,36.1205,-86.7529
Powered180d51ec-5dd5-571b-a666-a136045d9141,36.1635,-86.7835
Powered1826efae-99f4-544e-b213-4ba16deaff83,36.1199,-86.7533
Powered184c318e-3b9a-5543-bf6e-9970cd39d235,36.1461,-86.7953
Powered185e12cb-2a01-532a-bb26-8c3ccd33a302,36.1196,-86.7534
Powered185e5637-7105-59a3-a8df-b651410370b2,36.1198,-86.7533
Powered1891adbe-6979-5c5a-9287-ab8cf1ab02ba,36.1199,-86.7534
Powered1895430b-8868-52ae-8601-c8836159ea64,36.1199,-86.7533
Powered18bea4d5-20ba-5c59-bdbd-a36e55a1a341,36.12,-86.7531
Powered190532ea-262b-54bc-8814-4ad90784434a,36.1579,-86.7842
Powered1922bd28-8edf-5f60-9a64-e7b498953f95,36.1202,-86.7533
Powered1996e6c5-b97c-5790-a874-9a59905c4c5e,36.12,-86.7532
Powered19d5ec9e-7103-57d5-ac3b-0e9216b42210,36.153,-86.8018
